filename,wellID,counts
data/assayplate_3765/AssayPlate_Corning_3765_D05_T0001F001L01A01Z01C01.tif,D05,896
data/assayplate_3765/AssayPlate_Corning_3765_P23_T0001F001L01A01Z01C01.tif,P23,468
data/assayplate_3765/AssayPlate_Corning_3765_B03_T0001F001L01A01Z01C01.tif,B03,841
data/assayplate_3765/AssayPlate_Corning_3765_C01_T0001F001L01A01Z01C01.tif,C01,1669
data/assayplate_3765/AssayPlate_Corning_3765_E09_T0001F001L01A01Z01C01.tif,E09,1300
data/assayplate_3765/AssayPlate_Corning_3765_I12_T0001F001L01A01Z01C01.tif,I12,770
data/assayplate_3765/AssayPlate_Corning_3765_M20_T0001F001L01A01Z01C01.tif,M20,443
data/assayplate_3765/AssayPlate_Corning_3765_A23_T0001F001L01A01Z01C01.tif,A23,688
data/assayplate_3765/AssayPlate_Corning_3765_M07_T0001F001L01A01Z01C01.tif,M07,889
data/assayplate_3765/AssayPlate_Corning_3765_L14_T0001F001L01A01Z01C01.tif,L14,661
data/assayplate_3765/AssayPlate_Corning_3765_M11_T0001F001L01A01Z01C01.tif,M11,810
data/assayplate_3765/AssayPlate_Corning_3765_P04_T0001F001L01A01Z01C01.tif,P04,521
data/assayplate_3765/AssayPlate_Corning_3765_A19_T0001F001L01A01Z01C01.tif,A19,1122
data/assayplate_3765/AssayPlate_Corning_3765_G20_T0001F001L01A01Z01C01.tif,G20,863
data/assayplate_3765/AssayPlate_Corning_3765_P21_T0001F001L01A01Z01C01.tif,P21,403
data/assayplate_3765/AssayPlate_Corning_3765_L05_T0001F001L01A01Z01C01.tif,L05,454
data/assayplate_3765/AssayPlate_Corning_3765_K06_T0001F001L01A01Z01C01.tif,K06,527
data/assayplate_3765/AssayPlate_Corning_3765_M06_T0001F001L01A01Z01C01.tif,M06,383
data/assayplate_3765/AssayPlate_Corning_3765_B21_T0001F001L01A01Z01C01.tif,B21,962
data/assayplate_3765/AssayPlate_Corning_3765_L12_T0001F001L01A01Z01C01.tif,L12,789
data/assayplate_3765/AssayPlate_Corning_3765_F01_T0001F001L01A01Z01C01.tif,F01,1198
data/assayplate_3765/AssayPlate_Corning_3765_K15_T0001F001L01A01Z01C01.tif,K15,666
data/assayplate_3765/AssayPlate_Corning_3765_B09_T0001F001L01A01Z01C01.tif,B09,1381
data/assayplate_3765/AssayPlate_Corning_3765_I18_T0001F001L01A01Z01C01.tif,I18,1460
data/assayplate_3765/AssayPlate_Corning_3765_D15_T0001F001L01A01Z01C01.tif,D15,1161
data/assayplate_3765/AssayPlate_Corning_3765_H21_T0001F001L01A01Z01C01.tif,H21,995
data/assayplate_3765/AssayPlate_Corning_3765_D23_T0001F001L01A01Z01C01.tif,D23,903
data/assayplate_3765/AssayPlate_Corning_3765_K17_T0001F001L01A01Z01C01.tif,K17,1047
data/assayplate_3765/AssayPlate_Corning_3765_N05_T0001F001L01A01Z01C01.tif,N05,347
data/assayplate_3765/AssayPlate_Corning_3765_P16_T0001F001L01A01Z01C01.tif,P16,638
data/assayplate_3765/AssayPlate_Corning_3765_K03_T0001F001L01A01Z01C01.tif,K03,679
data/assayplate_3765/AssayPlate_Corning_3765_G19_T0001F001L01A01Z01C01.tif,G19,981
data/assayplate_3765/AssayPlate_Corning_3765_P11_T0001F001L01A01Z01C01.tif,P11,410
data/assayplate_3765/AssayPlate_Corning_3765_P24_T0001F001L01A01Z01C01.tif,P24,760
data/assayplate_3765/AssayPlate_Corning_3765_G01_T0001F001L01A01Z01C01.tif,G01,1026
data/assayplate_3765/AssayPlate_Corning_3765_N04_T0001F001L01A01Z01C01.tif,N04,537
data/assayplate_3765/AssayPlate_Corning_3765_O07_T0001F001L01A01Z01C01.tif,O07,786
data/assayplate_3765/AssayPlate_Corning_3765_J13_T0001F001L01A01Z01C01.tif,J13,1664
data/assayplate_3765/AssayPlate_Corning_3765_H08_T0001F001L01A01Z01C01.tif,H08,1454
data/assayplate_3765/AssayPlate_Corning_3765_O08_T0001F001L01A01Z01C01.tif,O08,1008
data/assayplate_3765/AssayPlate_Corning_3765_C08_T0001F001L01A01Z01C01.tif,C08,1565
data/assayplate_3765/AssayPlate_Corning_3765_H02_T0001F001L01A01Z01C01.tif,H02,853
data/assayplate_3765/AssayPlate_Corning_3765_I14_T0001F001L01A01Z01C01.tif,I14,624
data/assayplate_3765/AssayPlate_Corning_3765_H15_T0001F001L01A01Z01C01.tif,H15,913
data/assayplate_3765/AssayPlate_Corning_3765_A16_T0001F001L01A01Z01C01.tif,A16,1159
data/assayplate_3765/AssayPlate_Corning_3765_B06_T0001F001L01A01Z01C01.tif,B06,1408
data/assayplate_3765/AssayPlate_Corning_3765_G21_T0001F001L01A01Z01C01.tif,G21,677
data/assayplate_3765/AssayPlate_Corning_3765_C18_T0001F001L01A01Z01C01.tif,C18,1439
data/assayplate_3765/AssayPlate_Corning_3765_F07_T0001F001L01A01Z01C01.tif,F07,1300
data/assayplate_3765/AssayPlate_Corning_3765_C10_T0001F001L01A01Z01C01.tif,C10,1275
data/assayplate_3765/AssayPlate_Corning_3765_I19_T0001F001L01A01Z01C01.tif,I19,925
data/assayplate_3765/AssayPlate_Corning_3765_D12_T0001F001L01A01Z01C01.tif,D12,1208
data/assayplate_3765/AssayPlate_Corning_3765_G08_T0001F001L01A01Z01C01.tif,G08,1317
data/assayplate_3765/AssayPlate_Corning_3765_H10_T0001F001L01A01Z01C01.tif,H10,1023
data/assayplate_3765/AssayPlate_Corning_3765_H20_T0001F001L01A01Z01C01.tif,H20,780
data/assayplate_3765/AssayPlate_Corning_3765_L02_T0001F001L01A01Z01C01.tif,L02,884
data/assayplate_3765/AssayPlate_Corning_3765_K18_T0001F001L01A01Z01C01.tif,K18,979
data/assayplate_3765/AssayPlate_Corning_3765_C17_T0001F001L01A01Z01C01.tif,C17,1299
data/assayplate_3765/AssayPlate_Corning_3765_B19_T0001F001L01A01Z01C01.tif,B19,1452
data/assayplate_3765/AssayPlate_Corning_3765_G13_T0001F001L01A01Z01C01.tif,G13,996
data/assayplate_3765/AssayPlate_Corning_3765_M22_T0001F001L01A01Z01C01.tif,M22,718
data/assayplate_3765/AssayPlate_Corning_3765_G18_T0001F001L01A01Z01C01.tif,G18,1380
data/assayplate_3765/AssayPlate_Corning_3765_G02_T0001F001L01A01Z01C01.tif,G02,839
data/assayplate_3765/AssayPlate_Corning_3765_J23_T0001F001L01A01Z01C01.tif,J23,812
data/assayplate_3765/AssayPlate_Corning_3765_H19_T0001F001L01A01Z01C01.tif,H19,1559
data/assayplate_3765/AssayPlate_Corning_3765_M24_T0001F001L01A01Z01C01.tif,M24,732
data/assayplate_3765/AssayPlate_Corning_3765_D24_T0001F001L01A01Z01C01.tif,D24,936
data/assayplate_3765/AssayPlate_Corning_3765_E23_T0001F001L01A01Z01C01.tif,E23,136
data/assayplate_3765/AssayPlate_Corning_3765_A06_T0001F001L01A01Z01C01.tif,A06,1203
data/assayplate_3765/AssayPlate_Corning_3765_D06_T0001F001L01A01Z01C01.tif,D06,1083
data/assayplate_3765/AssayPlate_Corning_3765_M13_T0001F001L01A01Z01C01.tif,M13,718
data/assayplate_3765/AssayPlate_Corning_3765_O13_T0001F001L01A01Z01C01.tif,O13,697
data/assayplate_3765/AssayPlate_Corning_3765_G14_T0001F001L01A01Z01C01.tif,G14,868
data/assayplate_3765/AssayPlate_Corning_3765_E17_T0001F001L01A01Z01C01.tif,E17,1357
data/assayplate_3765/AssayPlate_Corning_3765_H16_T0001F001L01A01Z01C01.tif,H16,1264
data/assayplate_3765/AssayPlate_Corning_3765_N23_T0001F001L01A01Z01C01.tif,N23,633
data/assayplate_3765/AssayPlate_Corning_3765_O10_T0001F001L01A01Z01C01.tif,O10,591
data/assayplate_3765/AssayPlate_Corning_3765_A15_T0001F001L01A01Z01C01.tif,A15,1150
data/assayplate_3765/AssayPlate_Corning_3765_N10_T0001F001L01A01Z01C01.tif,N10,612
data/assayplate_3765/AssayPlate_Corning_3765_E13_T0001F001L01A01Z01C01.tif,E13,1220
data/assayplate_3765/AssayPlate_Corning_3765_M19_T0001F001L01A01Z01C01.tif,M19,364
data/assayplate_3765/AssayPlate_Corning_3765_L16_T0001F001L01A01Z01C01.tif,L16,724
data/assayplate_3765/AssayPlate_Corning_3765_J19_T0001F001L01A01Z01C01.tif,J19,598
data/assayplate_3765/AssayPlate_Corning_3765_N09_T0001F001L01A01Z01C01.tif,N09,819
data/assayplate_3765/AssayPlate_Corning_3765_K16_T0001F001L01A01Z01C01.tif,K16,967
data/assayplate_3765/AssayPlate_Corning_3765_J12_T0001F001L01A01Z01C01.tif,J12,765
data/assayplate_3765/AssayPlate_Corning_3765_I08_T0001F001L01A01Z01C01.tif,I08,1318
data/assayplate_3765/AssayPlate_Corning_3765_E05_T0001F001L01A01Z01C01.tif,E05,878
data/assayplate_3765/AssayPlate_Corning_3765_J09_T0001F001L01A01Z01C01.tif,J09,991
data/assayplate_3765/AssayPlate_Corning_3765_O24_T0001F001L01A01Z01C01.tif,O24,758
