filename,wellID,counts,well,wellNum
data/assayplate_3765/AssayPlate_Corning_3765_D24_T0001F001L01A01Z01C01.tif,D24,936,D,24
data/assayplate_3765/AssayPlate_Corning_3765_D01_T0001F001L01A01Z01C01.tif,D01,1061,D,01
data/assayplate_3765/AssayPlate_Corning_3765_D14_T0001F001L01A01Z01C01.tif,D14,1195,D,14
data/assayplate_3765/AssayPlate_Corning_3765_D16_T0001F001L01A01Z01C01.tif,D16,1326,D,16
data/assayplate_3765/AssayPlate_Corning_3765_D15_T0001F001L01A01Z01C01.tif,D15,1161,D,15
data/assayplate_3765/AssayPlate_Corning_3765_D13_T0001F001L01A01Z01C01.tif,D13,1303,D,13
data/assayplate_3765/AssayPlate_Corning_3765_D21_T0001F001L01A01Z01C01.tif,D21,896,D,21
data/assayplate_3765/AssayPlate_Corning_3765_D19_T0001F001L01A01Z01C01.tif,D19,1126,D,19
data/assayplate_3765/AssayPlate_Corning_3765_D20_T0001F001L01A01Z01C01.tif,D20,1055,D,20
data/assayplate_3765/AssayPlate_Corning_3765_D23_T0001F001L01A01Z01C01.tif,D23,903,D,23
data/assayplate_3765/AssayPlate_Corning_3765_D04_T0001F001L01A01Z01C01.tif,D04,699,D,04
data/assayplate_3765/AssayPlate_Corning_3765_D06_T0001F001L01A01Z01C01.tif,D06,1083,D,06
data/assayplate_3765/AssayPlate_Corning_3765_E08_T0001F001L01A01Z01C01.tif,E08,1364,E,08
data/assayplate_3765/AssayPlate_Corning_3765_E06_T0001F001L01A01Z01C01.tif,E06,1051,E,06
data/assayplate_3765/AssayPlate_Corning_3765_E19_T0001F001L01A01Z01C01.tif,E19,1226,E,19
data/assayplate_3765/AssayPlate_Corning_3765_E21_T0001F001L01A01Z01C01.tif,E21,872,E,21
data/assayplate_3765/AssayPlate_Corning_3765_E24_T0001F001L01A01Z01C01.tif,E24,1110,E,24
data/assayplate_3765/AssayPlate_Corning_3765_E23_T0001F001L01A01Z01C01.tif,E23,136,E,23
data/assayplate_3765/AssayPlate_Corning_3765_E17_T0001F001L01A01Z01C01.tif,E17,1357,E,17
data/assayplate_3765/AssayPlate_Corning_3765_E14_T0001F001L01A01Z01C01.tif,E14,1086,E,14
data/assayplate_3765/AssayPlate_Corning_3765_E10_T0001F001L01A01Z01C01.tif,E10,1273,E,10
data/assayplate_3765/AssayPlate_Corning_3765_E07_T0001F001L01A01Z01C01.tif,E07,1404,E,07
data/assayplate_3765/AssayPlate_Corning_3765_E20_T0001F001L01A01Z01C01.tif,E20,919,E,20
data/assayplate_3765/AssayPlate_Corning_3765_E15_T0001F001L01A01Z01C01.tif,E15,1027,E,15
data/assayplate_3765/AssayPlate_Corning_3765_E22_T0001F001L01A01Z01C01.tif,E22,662,E,22
data/assayplate_3765/AssayPlate_Corning_3765_E12_T0001F001L01A01Z01C01.tif,E12,1321,E,12
data/assayplate_3765/AssayPlate_Corning_3765_E04_T0001F001L01A01Z01C01.tif,E04,735,E,04
data/assayplate_3765/AssayPlate_Corning_3765_E18_T0001F001L01A01Z01C01.tif,E18,1607,E,18
data/assayplate_3765/AssayPlate_Corning_3765_E09_T0001F001L01A01Z01C01.tif,E09,1300,E,09
data/assayplate_3765/AssayPlate_Corning_3765_E01_T0001F001L01A01Z01C01.tif,E01,1159,E,01
data/assayplate_3765/AssayPlate_Corning_3765_E16_T0001F001L01A01Z01C01.tif,E16,1362,E,16
data/assayplate_3765/AssayPlate_Corning_3765_E05_T0001F001L01A01Z01C01.tif,E05,878,E,05
data/assayplate_3765/AssayPlate_Corning_3765_E02_T0001F001L01A01Z01C01.tif,E02,1034,E,02
data/assayplate_3765/AssayPlate_Corning_3765_E03_T0001F001L01A01Z01C01.tif,E03,604,E,03
data/assayplate_3765/AssayPlate_Corning_3765_E13_T0001F001L01A01Z01C01.tif,E13,1220,E,13
data/assayplate_3765/AssayPlate_Corning_3765_E11_T0001F001L01A01Z01C01.tif,E11,1012,E,11
data/assayplate_3765/AssayPlate_Corning_3765_F07_T0001F001L01A01Z01C01.tif,F07,1300,F,07
data/assayplate_3765/AssayPlate_Corning_3765_F11_T0001F001L01A01Z01C01.tif,F11,825,F,11
data/assayplate_3765/AssayPlate_Corning_3765_F13_T0001F001L01A01Z01C01.tif,F13,1133,F,13
data/assayplate_3765/AssayPlate_Corning_3765_F15_T0001F001L01A01Z01C01.tif,F15,240,F,15
data/assayplate_3765/AssayPlate_Corning_3765_F01_T0001F001L01A01Z01C01.tif,F01,1198,F,01
data/assayplate_3765/AssayPlate_Corning_3765_F20_T0001F001L01A01Z01C01.tif,F20,965,F,20
data/assayplate_3765/AssayPlate_Corning_3765_F05_T0001F001L01A01Z01C01.tif,F05,740,F,05
data/assayplate_3765/AssayPlate_Corning_3765_F06_T0001F001L01A01Z01C01.tif,F06,106,F,06
data/assayplate_3765/AssayPlate_Corning_3765_F04_T0001F001L01A01Z01C01.tif,F04,599,F,04
data/assayplate_3765/AssayPlate_Corning_3765_F18_T0001F001L01A01Z01C01.tif,F18,1253,F,18
data/assayplate_3765/AssayPlate_Corning_3765_F02_T0001F001L01A01Z01C01.tif,F02,834,F,02
data/assayplate_3765/AssayPlate_Corning_3765_F23_T0001F001L01A01Z01C01.tif,F23,920,F,23
data/assayplate_3765/AssayPlate_Corning_3765_F10_T0001F001L01A01Z01C01.tif,F10,1053,F,10
data/assayplate_3765/AssayPlate_Corning_3765_F16_T0001F001L01A01Z01C01.tif,F16,1143,F,16
data/assayplate_3765/AssayPlate_Corning_3765_F21_T0001F001L01A01Z01C01.tif,F21,202,F,21
data/assayplate_3765/AssayPlate_Corning_3765_F08_T0001F001L01A01Z01C01.tif,F08,1369,F,08
data/assayplate_3765/AssayPlate_Corning_3765_F19_T0001F001L01A01Z01C01.tif,F19,1107,F,19
data/assayplate_3765/AssayPlate_Corning_3765_F14_T0001F001L01A01Z01C01.tif,F14,886,F,14
data/assayplate_3765/AssayPlate_Corning_3765_F17_T0001F001L01A01Z01C01.tif,F17,1432,F,17
data/assayplate_3765/AssayPlate_Corning_3765_F12_T0001F001L01A01Z01C01.tif,F12,1022,F,12
data/assayplate_3765/AssayPlate_Corning_3765_F09_T0001F001L01A01Z01C01.tif,F09,1179,F,09
data/assayplate_3765/AssayPlate_Corning_3765_F03_T0001F001L01A01Z01C01.tif,F03,671,F,03
data/assayplate_3765/AssayPlate_Corning_3765_F22_T0001F001L01A01Z01C01.tif,F22,908,F,22
data/assayplate_3765/AssayPlate_Corning_3765_F24_T0001F001L01A01Z01C01.tif,F24,1009,F,24
data/assayplate_3765/AssayPlate_Corning_3765_G01_T0001F001L01A01Z01C01.tif,G01,1026,G,01
data/assayplate_3765/AssayPlate_Corning_3765_G06_T0001F001L01A01Z01C01.tif,G06,894,G,06
data/assayplate_3765/AssayPlate_Corning_3765_G20_T0001F001L01A01Z01C01.tif,G20,863,G,20
data/assayplate_3765/AssayPlate_Corning_3765_G05_T0001F001L01A01Z01C01.tif,G05,659,G,05
data/assayplate_3765/AssayPlate_Corning_3765_G18_T0001F001L01A01Z01C01.tif,G18,1380,G,18
data/assayplate_3765/AssayPlate_Corning_3765_G22_T0001F001L01A01Z01C01.tif,G22,1296,G,22
data/assayplate_3765/AssayPlate_Corning_3765_G23_T0001F001L01A01Z01C01.tif,G23,895,G,23
